CAMBRIDGESHIRE,EAST ANGLIA,
CITY OF PETERBOROUGH,EAST ANGLIA,
NORFOLK,EAST ANGLIA,
SUFFOLK,EAST ANGLIA,
CITY OF DERBY,EAST MIDLANDS,
CITY OF NOTTINGHAM,EAST MIDLANDS,
DERBYSHIRE,EAST MIDLANDS,
LEICESTER,EAST MIDLANDS,
LEICESTERSHIRE,EAST MIDLANDS,
LINCOLNSHIRE,EAST MIDLANDS,
NORTHAMPTONSHIRE,EAST MIDLANDS,
NORTH NORTHAMPTONSHIRE,EAST MIDLANDS,new
WEST NORTHAMPTONSHIRE,EAST MIDLANDS,new
NOTTINGHAMSHIRE,EAST MIDLANDS,
RUTLAND,EAST MIDLANDS,
GREATER LONDON,GREATER LONDON,
COUNTY DURHAM,NORTH,
CUMBRIA,NORTH,
DARLINGTON,NORTH,
HARTLEPOOL,NORTH,
MIDDLESBROUGH,NORTH,
NORTHUMBERLAND,NORTH,
REDCAR AND CLEVELAND,NORTH,
STOCKTON-ON-TEES,NORTH,
TYNE AND WEAR,NORTH,
BLACKBURN WITH DARWEN,NORTH WEST,
BLACKPOOL,NORTH WEST,
CHESHIRE EAST,NORTH WEST,
CHESHIRE WEST AND CHESTER,NORTH WEST,
GREATER MANCHESTER,NORTH WEST,
HALTON,NORTH WEST,
LANCASHIRE,NORTH WEST,
MERSEYSIDE,NORTH WEST,
WARRINGTON,NORTH WEST,
BEDFORD,SOUTH EAST,
BRACKNELL FOREST,SOUTH EAST,
BRIGHTON AND HOVE,SOUTH EAST,
BUCKINGHAMSHIRE,SOUTH EAST,
CENTRAL BEDFORDSHIRE,SOUTH EAST,
EAST SUSSEX,SOUTH EAST,
ESSEX,SOUTH EAST,
HAMPSHIRE,SOUTH EAST,
HERTFORDSHIRE,SOUTH EAST,
ISLE OF WIGHT,SOUTH EAST,
KENT,SOUTH EAST,
LUTON,SOUTH EAST,
MEDWAY,SOUTH EAST,
MILTON KEYNES,SOUTH EAST,
OXFORDSHIRE,SOUTH EAST,
PORTSMOUTH,SOUTH EAST,
READING,SOUTH EAST,
SLOUGH,SOUTH EAST,
SOUTHAMPTON,SOUTH EAST,
SOUTHEND-ON-SEA,SOUTH EAST,
SURREY,SOUTH EAST,
THURROCK,SOUTH EAST,
WEST BERKSHIRE,SOUTH EAST,
WEST SUSSEX,SOUTH EAST,
WINDSOR AND MAIDENHEAD,SOUTH EAST,
WOKINGHAM,SOUTH EAST,
BATH AND NORTH EAST SOMERSET,SOUTH WEST,
BOURNEMOUTH,SOUTH WEST,
"BOURNEMOUTH, CHRISTCHURCH AND POOLE",SOUTH WEST,new
CITY OF BRISTOL,SOUTH WEST,
CITY OF PLYMOUTH,SOUTH WEST,
CORNWALL,SOUTH WEST,
DEVON,SOUTH WEST,
DORSET,SOUTH WEST,
GLOUCESTERSHIRE,SOUTH WEST,
NORTH SOMERSET,SOUTH WEST,
POOLE,SOUTH WEST,
SOMERSET,SOUTH WEST,
SOUTH GLOUCESTERSHIRE,SOUTH WEST,
SWINDON,SOUTH WEST,
TORBAY,SOUTH WEST,
WILTSHIRE,SOUTH WEST,
ISLES OF SCILLY,SOUTH WEST,
BLAENAU GWENT,WALES,
BRIDGEND,WALES,
CAERPHILLY,WALES,
CARDIFF,WALES,
CARMARTHENSHIRE,WALES,
CEREDIGION,WALES,
CONWY,WALES,
DENBIGHSHIRE,WALES,
FLINTSHIRE,WALES,
GWYNEDD,WALES,
ISLE OF ANGLESEY,WALES,
MERTHYR TYDFIL,WALES,
MONMOUTHSHIRE,WALES,
NEATH PORT TALBOT,WALES,
NEWPORT,WALES,
PEMBROKESHIRE,WALES,
POWYS,WALES,
RHONDDA CYNON TAFF,WALES,
SWANSEA,WALES,
THE VALE OF GLAMORGAN,WALES,
TORFAEN,WALES,
WREXHAM,WALES,
HEREFORDSHIRE,WEST MIDLANDS,
SHROPSHIRE,WEST MIDLANDS,
STAFFORDSHIRE,WEST MIDLANDS,
STOKE-ON-TRENT,WEST MIDLANDS,
WARWICKSHIRE,WEST MIDLANDS,
WEST MIDLANDS,WEST MIDLANDS,
WORCESTERSHIRE,WEST MIDLANDS,
WREKIN,WEST MIDLANDS,
CITY OF KINGSTON UPON HULL,YORKS AND HUMBER,
EAST RIDING OF YORKSHIRE,YORKS AND HUMBER,
NORTH EAST LINCOLNSHIRE,YORKS AND HUMBER,
NORTH LINCOLNSHIRE,YORKS AND HUMBER,
NORTH YORKSHIRE,YORKS AND HUMBER,
SOUTH YORKSHIRE,YORKS AND HUMBER,
WEST YORKSHIRE,YORKS AND HUMBER,
YORK,YORKS AND HUMBER,
