Average Prices and Volumes of Sales,,,,,,,,,,
All Postcode Districts GREATER LONDON,,,,,,,,,,
Jul-Sep 2015,,,,,,,,,,
ALL,,,,,,,,,,
 ,Detached  ,Sales,Semi-det  ,Sales,Terraced   ,Sales,Flat/mais ,Sales,Overall Average,Total Sales
BR1,"1,096,392",37,"533,722",39,"348,929",102,"284,243",110,"445,275",288
BR2,"817,878",37,"515,708",62,"410,095",47,"278,822",109,"438,829",255
BR3,"986,533",30,"626,099",45,"493,165",69,"323,599",116,"497,447",260
BR4,"669,182",17,"543,203",43,"445,251",15,"205,906",16,"491,287",91
BR5,"558,184",24,"377,006",107,"273,102",44,"208,012",21,"357,759",196
BR6,"786,042",79,"450,798",82,"333,477",44,"260,939",24,"524,010",229
BR7,"888,683",32,"544,068",22,"437,597",31,"392,407",58,"536,591",143
CR0,"534,089",28,"397,052",96,"323,455",173,"249,031",270,"310,878",567
CR2,"587,471",45,"420,824",59,"337,813",36,"246,720",69,"384,927",209
CR3,,,"408,857",7,,,,,"408,857",7
CR4,"452,750",4,"345,361",8,"351,027",78,"228,532",87,"292,860",177
CR5,"562,625",42,"433,557",43,"334,141",28,"239,318",11,"437,594",124
CR7,"396,000",2,"424,350",5,"325,632",62,"200,095",43,"283,099",112
CR8,"664,709",55,"440,641",29,"338,012",19,"254,574",46,"452,820",149
CR9,,,,,,,"235,836",1,"235,836",1
DA1,"512,000",3,"296,967",15,"253,375",12,"171,235",17,"254,085",47
DA14,"576,525",10,"373,593",32,"341,659",23,"211,582",42,"322,101",107
DA15,"606,462",13,"403,516",40,"311,653",47,"202,283",18,"358,588",118
DA16,"406,400",5,"342,704",71,"320,944",50,"220,706",24,"318,054",150
DA17,"360,000",5,"307,293",22,"262,572",29,"169,147",63,"225,473",119
DA18,,,,,"287,500",2,"155,000",2,"221,250",4
DA5,"603,304",23,"432,996",23,"373,222",18,"267,954",11,"446,672",75
DA6,"645,667",3,"358,966",15,"360,721",14,"210,231",13,"335,658",45
DA7,"366,500",12,"359,535",75,"329,996",46,"199,498",40,"315,161",173
DA8,"333,214",7,"301,602",39,"263,960",55,"174,498",54,"245,391",155
DT3,"245,000",1,,,,,,,"245,000",1
E1,"720,000",1,,,"915,625",8,"539,798",209,"554,416",218
E10,,,"454,158",6,"460,975",54,"281,616",82,"357,113",142
E11,"1,125,000",4,"771,816",16,"515,675",84,"292,272",101,"437,489",205
E12,"675,000",1,"607,500",2,"390,000",42,"205,981",26,"332,754",71
E13,"370,000",1,"337,498",2,"348,232",50,"231,317",31,"305,088",84
E14,,,,,"606,199",17,"463,914",369,"470,181",386
E15,,,"540,000",3,"411,894",53,"308,790",96,"349,304",152
E16,,,"346,000",2,"329,319",26,"362,294",114,"356,027",142
E17,"534,000",4,"463,433",15,"483,708",197,"313,379",136,"417,606",352
E18,"785,168",6,"696,594",21,"555,554",33,"327,793",46,"497,653",106
E1W,,,,,"1,309,850",7,"610,856",52,"693,787",59
E2,,,,,"867,200",10,"467,532",116,"499,252",126
E3,"502,500",2,,,"787,750",27,"381,382",221,"426,239",250
E4,"519,000",4,"478,861",70,"416,519",103,"235,165",60,"390,750",237
E5,,,"885,000",1,"852,908",41,"419,544",93,"554,607",135
E6,,,"365,200",5,"314,894",99,"202,440",42,"284,267",146
E7,,,"725,000",1,"400,111",54,"239,898",28,"349,978",83
E8,,,"1,380,376",3,"919,846",13,"539,734",92,"608,839",108
E9,"780,000",1,"875,000",1,"851,758",20,"399,281",75,"501,404",97
EC1A,,,,,,,"659,000",5,"659,000",5
EC1M,,,,,,,"812,857",7,"812,857",7
EC1N,,,,,,,"763,700",8,"763,700",8
EC1R,,,,,"1,629,932",3,"790,107",14,"938,312",17
EC1V,,,,,"1,750,000",1,"775,229",107,"784,254",108
EC1Y,,,,,,,"743,125",8,"743,125",8
EC2A,,,,,,,"1,055,250",10,"1,055,250",10
EC2M,,,,,,,"503,000",1,"503,000",1
EC2Y,,,,,,,"1,008,963",37,"1,008,963",37
EC3N,,,,,,,"632,500",2,"632,500",2
EC3R,,,,,,,"1,046,600",5,"1,046,600",5
EC4A,,,,,,,"1,602,250",4,"1,602,250",4
EC4M,,,,,,,"955,000",1,"955,000",1
EC4R,,,,,"521,000",1,,,"521,000",1
EC4V,,,,,,,"809,200",5,"809,200",5
EN1,,,"481,776",29,"378,221",74,"277,611",62,"358,617",165
EN2,"759,528",16,"573,758",40,"430,031",29,"288,667",78,"429,998",163
EN3,"395,000",6,"346,171",19,"307,469",58,"183,326",53,"268,358",136
EN4,"795,870",10,"559,776",38,"495,897",15,"380,008",31,"515,414",94
EN5,"1,075,476",21,"611,264",48,"483,749",53,"279,199",35,"556,282",157
EN8,,,,,"410,000",2,,,"410,000",2
HA0,"500,000",1,"495,190",19,"389,384",22,"295,358",135,"329,652",177
HA1,"977,955",11,"566,815",23,"509,355",21,"294,052",123,"396,961",178
HA2,"493,400",5,"499,714",48,"432,773",47,"263,106",89,"371,481",189
HA3,"806,944",9,"489,480",47,"444,322",50,"248,379",34,"435,208",140
HA4,"721,694",33,"515,216",83,"418,551",91,"293,452",55,"461,095",262
HA5,"908,217",57,"614,606",55,"538,655",22,"324,473",62,"599,691",196
HA6,"1,243,334",25,"603,663",12,"478,630",15,"320,330",22,"710,189",74
HA7,"1,340,765",34,"553,748",30,"531,925",14,"383,944",54,"684,685",132
HA8,"747,545",11,"519,607",66,"461,250",41,"313,371",117,"417,416",235
HA9,"807,000",5,"548,219",26,"501,625",12,"301,079",56,"415,845",99
IG1,"630,000",1,"509,625",6,"351,884",72,"216,864",36,"320,265",115
IG11,,,"354,500",10,"318,646",63,"179,757",79,"248,819",152
IG2,"484,000",2,"449,143",7,"416,563",32,"235,550",34,"339,343",75
IG3,"525,000",1,"400,417",6,"381,364",35,"188,805",18,"327,896",60
IG4,"570,000",2,"498,250",6,"456,980",15,"145,874",4,"428,433",27
IG5,"448,000",5,"492,250",24,"390,364",11,"217,250",12,"402,981",52
IG6,"458,667",9,"432,914",35,"380,602",49,"214,108",26,"365,515",119
IG7,"485,750",4,"335,875",8,"287,867",15,"241,250",8,"310,800",35
IG8,"858,331",7,"563,856",40,"479,490",55,"317,033",40,"476,168",142
IG9,"757,500",4,"444,333",3,"522,250",4,,,"586,545",11
KT1,"770,000",6,"630,500",22,"500,000",7,"390,698",39,"503,084",74
KT17,,,,,"434,500",1,,,"434,500",1
KT2,"1,532,849",24,"824,165",17,"687,345",33,"407,788",56,"740,905",130
KT3,"1,221,489",11,"581,788",33,"488,941",34,"303,412",34,"531,923",112
KT4,"596,250",8,"502,206",17,"402,915",51,"252,331",21,"403,661",97
KT5,"892,250",6,"610,832",33,"445,583",14,"297,871",45,"460,748",98
KT6,"1,000,091",16,"585,833",27,"559,959",19,"373,074",100,"492,380",162
KT8,"550,000",1,,,,,"400,000",1,"475,000",2
KT9,"528,795",10,"381,324",35,"344,726",41,"228,293",11,"363,704",97
N1,"2,150,000",1,"1,665,500",4,"1,630,476",53,"628,848",219,"840,956",277
N10,"1,594,000",2,"948,741",11,"1,151,178",25,"497,183",49,"767,420",87
N11,"700,000",2,"690,519",13,"596,793",29,"342,303",35,"502,080",79
N12,"838,000",1,"774,400",30,"613,423",13,"348,113",45,"536,063",89
N13,"545,500",1,"705,950",10,"557,358",44,"312,278",36,"476,602",91
N14,"983,000",5,"698,946",42,"499,746",12,"326,950",27,"570,876",86
N15,,,"568,500",2,"508,610",45,"334,446",47,"422,802",94
N16,,,"749,532",1,"1,017,873",41,"460,361",115,"607,795",157
N17,,,"394,375",4,"412,806",51,"293,887",111,"332,844",166
N18,,,"325,000",3,"318,423",34,"197,713",17,"280,787",54
N19,,,"980,000",1,"950,306",18,"476,510",45,"617,632",64
N1C,,,,,,,"585,000",2,"585,000",2
N2,"2,684,375",8,"1,481,250",12,"752,833",15,"417,999",46,"861,364",81
N20,"1,741,692",13,"744,552",24,"653,417",6,"306,018",19,"810,421",62
N21,"1,223,000",5,"713,741",33,"557,971",17,"338,874",42,"550,378",97
N22,,,"696,250",4,"559,346",67,"373,956",63,"476,272",134
N3,"1,673,571",7,"954,531",16,"706,429",14,"434,240",41,"701,043",78
N4,,,,,"872,772",36,"440,999",218,"502,196",254
N5,"990,000",1,"2,914,500",2,"1,396,525",20,"574,050",67,"813,454",90
N6,"5,278,200",5,"2,675,625",8,"1,379,719",16,"744,039",52,"1,340,266",81
N7,,,"2,507,500",1,"1,039,107",14,"499,298",116,"572,318",131
N8,"1,580,000",1,"1,211,750",4,"970,555",51,"487,821",97,"674,797",153
N9,,,"323,500",6,"317,257",72,"196,837",40,"276,754",118
NW1,"4,200,000",2,"1,085,000",1,"2,293,223",20,"746,708",130,"996,219",153
NW10,"1,375,000",3,"721,872",16,"854,319",72,"407,117",196,"546,972",287
NW11,"2,291,607",14,"1,089,906",28,"898,518",15,"550,073",43,"997,308",100
NW2,"1,272,833",6,"834,093",21,"632,829",31,"453,701",106,"566,237",164
NW3,"4,000,000",6,"4,285,938",8,"2,861,095",21,"1,092,866",146,"1,535,519",181
NW4,"1,385,394",10,"677,700",15,"575,188",13,"377,692",36,"609,376",74
NW5,"1,900,000",1,"1,761,100",5,"1,437,000",19,"545,610",52,"862,081",77
